,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
30,H,1.25,1.0,D,D,W,D,W,L,0.5,0.25,0.25,-16.0
31,D,0.75,0.25,L,L,W,D,L,L,-0.5,-0.75,0.5,-2.0
32,H,1.0,1.0,L,D,W,D,W,L,0.0,0.25,0.0,-3.0
33,D,0.75,0.5,L,L,W,D,L,D,-0.25,-0.25,0.25,5.0
34,D,1.0,1.5,D,L,W,W,W,L,0.0,0.75,-0.5,3.0
35,A,1.5,1.5,W,W,L,W,W,L,0.0,0.25,0.0,3.0
36,D,0.5,1.0,D,L,D,L,D,W,-0.25,0.25,-0.5,4.0
37,H,1.25,1.0,D,W,D,W,D,L,0.25,-0.25,0.25,-12.0
38,H,1.0,0.5,D,L,W,L,D,D,-0.25,-0.5,0.5,-2.0
39,D,1.0,1.5,D,W,L,W,W,L,0.25,0.75,-0.5,15.0
40,D,1.2,1.4,L,W,W,D,L,W,-0.4,0.4,-0.2,11.0
41,A,0.8,1.0,L,W,D,W,L,D,-0.4,-0.2,-0.2,14.0
42,H,1.6,0.6,W,D,W,D,D,L,0.4,-0.2,1.0,-7.0
43,H,1.4,1.2,W,D,L,W,L,W,0.2,-0.4,0.2,-16.0
44,H,1.6,0.8,W,D,D,D,L,L,1.6,-0.4,0.8,-6.0
45,A,1.0,0.8,D,L,D,L,D,W,0.2,0.0,0.2,-1.0
46,D,1.8,1.0,W,W,W,D,D,L,0.6,0.0,0.8,6.0
47,D,0.6,0.8,D,D,L,D,L,L,-0.2,-0.2,-0.2,-4.0
48,H,1.4,0.4,W,L,D,D,D,L,0.2,-0.6,1.0,1.0
49,H,1.4,1.2,D,W,W,L,W,W,0.6,-0.4,0.2,-12.0
50,H,1.3333333333333333,0.8333333333333334,W,W,L,D,L,D,0.16666666666666666,-0.8333333333333334,0.5,-11.0
51,H,0.8333333333333334,1.6666666666666667,D,D,L,W,W,L,-0.16666666666666666,0.3333333333333333,-0.8333333333333334,10.0
52,A,1.1666666666666667,1.8333333333333333,W,L,D,W,W,D,0.16666666666666666,1.8333333333333333,-0.6666666666666666,12.0
53,A,1.1666666666666667,0.6666666666666666,L,D,L,L,L,W,0.16666666666666666,-0.5,0.5,-17.0
54,H,0.5,1.6666666666666667,L,D,D,D,W,W,-0.3333333333333333,0.5,-1.1666666666666667,4.0
55,H,0.6666666666666666,0.6666666666666666,L,D,L,D,D,D,-0.8333333333333334,-0.16666666666666666,0.0,-9.0
56,A,1.0,1.8333333333333333,D,D,D,W,W,D,0.0,0.5,-0.8333333333333334,-3.0
57,D,1.0,0.8333333333333334,L,W,L,L,D,L,-0.5,0.0,0.16666666666666666,8.0
58,D,0.3333333333333333,1.6666666666666667,L,D,D,W,W,D,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,5.0
59,A,0.8333333333333334,0.5,D,L,D,L,D,D,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,2.0
60,A,1.0,0.42857142857142855,L,D,L,D,L,D,-0.42857142857142855,-0.5714285714285714,0.5714285714285714,5.0
61,D,0.5714285714285714,1.1428571428571428,L,D,D,D,L,D,-0.2857142857142857,0.14285714285714285,-0.2857142857142857,13.0
62,D,1.0,1.5714285714285714,W,L,L,W,D,D,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,18.0
63,D,1.5714285714285714,1.0,D,W,W,W,L,D,0.2857142857142857,-0.5714285714285714,0.5714285714285714,-3.0
64,D,2.0,0.8571428571428571,W,W,W,L,D,D,1.8571428571428568,-0.2857142857142857,1.1428571428571428,-4.0
65,D,0.8571428571428571,1.2857142857142858,D,L,D,D,W,W,0.0,0.14285714285714285,-0.7142857142857143,6.0
66,A,1.4285714285714286,1.1428571428571428,L,D,W,W,D,D,0.14285714285714285,0.0,0.7142857142857143,-9.0
67,D,1.4285714285714286,1.0,L,W,W,D,L,W,0.14285714285714285,-0.42857142857142855,0.0,-10.0
68,D,2.0,1.0,W,W,W,L,W,L,0.7142857142857143,-0.14285714285714285,0.8571428571428571,-5.0
69,H,1.2857142857142858,0.5714285714285714,D,W,W,L,D,D,0.14285714285714285,-0.2857142857142857,0.7142857142857143,-10.0
70,D,1.375,0.875,W,W,D,L,L,D,0.125,-0.75,0.5,6.0
71,A,1.0,1.0,D,L,W,D,W,L,-0.125,-0.25,-0.25,-7.0
72,H,1.375,1.375,W,D,L,D,L,W,0.25,0.125,-0.25,-7.0
73,A,1.0,1.25,D,D,L,L,L,D,-0.375,0.0,-0.25,9.0
74,A,1.125,0.875,W,W,L,D,D,L,0.125,0.0,0.625,3.0
75,D,0.75,0.625,W,D,L,L,L,D,-0.125,-1.0,0.5,-8.0
76,H,1.5,1.875,D,W,D,D,W,W,0.5,1.625,-0.25,1.0
77,H,0.875,1.5,D,L,D,D,D,W,-0.25,0.25,-0.625,1.0
78,D,1.0,1.875,D,W,L,D,W,W,-0.5,0.625,-0.75,-1.0
79,H,1.5,1.5,D,W,D,W,D,W,0.5,0.5,-0.125,-4.0
80,H,0.8888888888888888,1.2222222222222223,D,L,L,L,D,L,-0.6666666666666666,0.0,-0.5555555555555556,4.0
81,D,0.8888888888888888,1.0,L,D,L,L,W,W,-0.4444444444444444,-0.1111111111111111,-0.3333333333333333,-2.0
82,D,1.2222222222222223,0.7777777777777778,W,D,W,D,W,D,0.1111111111111111,-0.1111111111111111,0.1111111111111111,11.0
83,H,1.5555555555555556,1.3333333333333333,W,W,D,D,W,W,0.4444444444444444,0.1111111111111111,-0.1111111111111111,-17.0
84,A,1.7777777777777777,1.6666666666666667,D,D,W,L,D,W,0.5555555555555556,1.3333333333333333,0.1111111111111111,7.0
85,H,0.8888888888888888,0.6666666666666666,L,D,D,D,L,L,-0.4444444444444444,-0.8888888888888888,0.3333333333333333,3.0
86,H,1.0,1.1111111111111112,D,D,W,W,D,L,-0.4444444444444444,0.1111111111111111,0.0,2.0
87,A,0.5555555555555556,1.3333333333333333,L,D,L,L,D,D,-0.5555555555555556,-0.1111111111111111,-0.5555555555555556,12.0
88,A,1.1111111111111112,1.4444444444444444,W,D,D,W,L,L,0.2222222222222222,0.1111111111111111,-0.1111111111111111,1.0
89,A,0.6666666666666666,1.2222222222222223,D,L,L,W,D,W,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-3.0
90,H,1.2,1.0,L,D,W,L,W,D,-0.1,0.0,0.3,8.0
91,H,1.0,1.1,L,W,D,W,D,L,0.0,-0.5,0.0,-9.0
92,H,1.5,1.6,W,L,D,L,D,D,0.3,0.2,0.0,-4.0
93,H,1.8,1.4,W,L,D,L,W,W,1.5,0.1,0.3,-2.0
94,A,1.6,0.9,W,W,L,D,L,D,0.3,-0.4,0.2,-2.0
95,H,1.1,0.5,L,L,D,L,L,D,-0.1,-0.9,0.2,-6.0
96,A,0.8,1.8,D,D,W,W,W,D,-0.1,0.6,-0.5,7.0
97,D,1.3,1.2,D,L,W,W,D,D,0.3,-0.3,0.0,-1.0
98,A,1.0,1.1,D,L,W,W,L,D,-0.1,-0.2,0.2,-5.0
99,H,1.8,1.1,W,W,D,W,L,D,0.6,-0.2,0.6,-18.0
100,H,1.4545454545454546,1.3636363636363635,W,D,L,W,L,D,0.3636363636363637,0.0,-0.18181818181818185,-14.0
101,H,1.181818181818182,1.2727272727272727,W,L,W,W,L,L,0.4545454545454545,0.09090909090909093,0.2727272727272727,-5.0
102,H,1.3636363636363635,0.9090909090909092,W,D,W,L,L,W,0.2727272727272727,-0.09090909090909093,0.5454545454545454,8.0
103,H,1.4545454545454546,0.4545454545454545,L,L,D,L,L,L,0.09090909090909093,-1.0,0.3636363636363637,-8.0
104,H,1.9090909090909087,0.9090909090909092,W,W,L,L,D,L,1.6363636363636365,-0.2727272727272727,0.2727272727272727,-14.0
105,H,1.181818181818182,1.0,D,W,D,L,W,D,-0.2727272727272727,-0.9090909090909092,0.4545454545454545,-7.0
106,H,0.7272727272727273,1.4545454545454546,L,D,D,L,W,W,-0.18181818181818185,0.18181818181818185,0.0,-2.0
107,D,0.5454545454545454,1.3636363636363635,L,L,D,D,L,W,-1.0909090909090908,0.09090909090909093,-0.6363636363636364,14.0
108,H,1.6363636363636365,1.0909090909090908,W,W,L,W,D,L,0.3636363636363637,-0.2727272727272727,0.2727272727272727,-9.0
109,H,1.3636363636363635,0.5454545454545454,W,L,D,L,L,D,0.0,-1.0909090909090908,0.8181818181818182,3.0
110,A,0.9166666666666666,2.0,L,L,W,W,W,W,-0.9166666666666666,1.9166666666666667,-0.5,13.0
111,H,1.5,1.75,W,D,L,W,W,W,0.16666666666666666,0.5,0.0,-1.0
112,A,1.1666666666666667,1.5833333333333333,L,W,W,W,L,L,-0.4166666666666667,0.16666666666666666,0.16666666666666666,12.0
113,A,0.8333333333333334,2.0,L,L,L,W,W,W,-0.16666666666666666,1.0,-0.75,10.0
114,H,1.3333333333333333,1.5,L,L,W,W,W,D,0.08333333333333333,0.3333333333333333,-0.4166666666666667,-9.0
115,H,0.8333333333333334,1.3333333333333333,L,L,D,W,W,L,-0.6666666666666666,0.6666666666666666,-0.5,10.0
116,H,1.1666666666666667,1.3333333333333333,L,W,L,W,D,W,-0.16666666666666666,-0.16666666666666666,-0.4166666666666667,3.0
117,A,1.0,1.5833333333333333,L,W,D,W,W,D,-0.4166666666666667,0.4166666666666667,-0.4166666666666667,7.0
118,D,0.4166666666666667,0.9166666666666666,L,L,L,W,L,D,-1.0,-0.08333333333333333,-0.5833333333333334,7.0
119,D,2.0,0.4166666666666667,W,W,W,L,L,L,1.0,-1.0,1.0,-14.0
120,H,1.6923076923076923,1.3076923076923077,W,W,W,W,L,W,0.5384615384615384,-0.07692307692307693,0.3076923076923077,-4.0
121,A,0.5384615384615384,0.9230769230769232,L,D,L,L,L,W,-1.0769230769230769,-0.4615384615384616,-0.15384615384615385,4.0
122,H,1.3846153846153846,1.3846153846153846,L,W,W,W,L,W,0.2307692307692308,0.07692307692307693,0.2307692307692308,0.0
123,D,1.6923076923076923,1.4615384615384617,W,W,L,W,L,L,0.2307692307692308,0.15384615384615385,-0.15384615384615385,-3.0
124,H,2.0769230769230766,0.7692307692307693,W,W,W,L,L,L,1.8461538461538465,-0.2307692307692308,0.6923076923076923,-11.0
125,D,1.2307692307692308,1.0,L,W,D,W,L,L,-0.2307692307692308,-0.5384615384615384,0.3076923076923077,-8.0
126,H,0.9230769230769232,1.0769230769230769,D,W,L,L,L,W,-0.07692307692307693,-0.4615384615384616,0.0,-11.0
127,D,1.2307692307692308,1.4615384615384617,L,W,W,D,W,D,0.5384615384615384,0.15384615384615385,0.07692307692307693,2.0
128,H,1.6153846153846154,0.8461538461538461,L,W,W,L,L,L,0.38461538461538464,-0.9230769230769232,0.38461538461538464,-10.0
129,H,1.3846153846153846,1.2307692307692308,W,L,W,L,W,W,0.07692307692307693,0.5384615384615384,-0.15384615384615385,15.0
130,H,0.5,0.5,D,D,L,L,L,D,-0.8571428571428571,-1.0714285714285714,0.07142857142857142,-1.0
131,H,1.0714285714285714,2.0,W,L,L,D,W,W,-0.35714285714285715,0.9285714285714286,-0.42857142857142855,11.0
132,A,1.3571428571428572,1.0714285714285714,L,D,W,W,D,W,0.07142857142857142,0.14285714285714285,-0.21428571428571427,-6.0
133,A,1.0,2.142857142857143,L,L,L,W,W,W,-0.6428571428571429,1.7857142857142858,-0.6428571428571429,19.0
134,A,0.7142857142857143,1.6428571428571428,L,L,L,D,W,W,-0.2857142857142857,0.21428571428571427,-0.5,4.0
135,A,1.4285714285714286,1.2142857142857142,D,W,L,D,L,W,0.14285714285714285,-0.21428571428571427,-0.07142857142857142,4.0
136,H,1.0,1.5714285714285714,D,W,L,L,W,W,-0.5,0.35714285714285715,-0.35714285714285715,9.0
