,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
30,D,0.75,0.25,L,L,W,D,L,L,-0.25,-1.0,0.5,1.0
31,D,0.75,1.75,W,L,L,D,W,W,-0.25,0.75,-1.0,6.0
32,A,1.0,1.5,W,L,D,W,L,W,-0.5,0.5,-0.5,-9.0
33,A,1.75,0.75,D,W,W,L,L,W,0.5,0.0,1.0,-6.0
34,H,2.25,0.75,W,W,W,D,D,D,2.0,0.0,1.5,-18.0
35,A,0.5,1.0,D,L,D,D,W,L,-0.5,-0.25,-0.5,12.0
36,A,0.5,0.25,D,D,L,L,D,L,-0.25,-1.0,0.25,-4.0
37,D,0.5,1.0,D,D,L,L,W,D,-0.25,0.25,-0.5,-6.0
38,H,0.5,1.0,D,L,D,D,W,L,-0.75,0.0,-0.5,-13.0
39,H,1.25,1.75,D,W,D,D,W,W,0.5,0.5,-0.5,4.0
40,H,1.4,0.4,W,D,W,L,D,D,0.0,-0.4,1.0,-6.0
41,A,1.8,2.4,W,W,L,W,W,W,0.6,2.0,-0.6,8.0
42,H,1.0,0.8,D,L,W,L,W,L,0.2,-0.6,0.2,10.0
43,H,1.4,1.4,L,D,W,L,D,W,0.2,-0.2,0.0,-2.0
44,H,0.8,0.8,L,D,W,D,W,L,-0.6,-0.2,0.0,0.0
45,H,0.6,1.6,L,D,D,W,D,W,-0.4,0.6,-1.0,12.0
46,D,0.8,1.0,W,L,D,W,D,L,-0.6,0.0,-0.2,6.0
47,H,1.6,0.8,D,D,W,D,L,L,0.6,-0.2,0.8,-3.0
48,A,0.4,0.6,D,D,L,D,D,D,-0.8,-0.2,-0.2,11.0
49,H,1.2,0.4,W,L,L,L,D,L,0.6,-0.6,0.8,-3.0
50,A,0.6666666666666666,0.8333333333333334,L,D,L,D,W,L,-0.3333333333333333,-0.5,-0.16666666666666666,4.0
51,H,0.6666666666666666,0.3333333333333333,L,D,W,L,D,D,-0.5,-0.8333333333333334,0.3333333333333333,4.0
52,H,0.6666666666666666,1.6666666666666667,L,L,W,W,W,D,-0.8333333333333334,0.3333333333333333,-1.0,-2.0
53,A,2.5,1.5,W,W,W,W,W,L,1.8333333333333333,0.8333333333333334,1.0,-10.0
54,A,0.3333333333333333,1.0,L,L,D,W,L,D,-0.8333333333333334,-0.16666666666666666,-0.6666666666666666,-5.0
55,D,0.3333333333333333,1.8333333333333333,L,L,D,W,D,D,-0.6666666666666666,0.6666666666666666,-1.5,-5.0
